Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
12/5/2013,0.2,ppm,2,24,100
12/6/2013,0.4,ppm,5,24,100
12/7/2013,0.3,ppm,3,24,100
12/8/2013,0.3,ppm,3,24,100
12/9/2013,0.3,ppm,3,11,46
12/10/2013,0.6,ppm,7,20,83
12/11/2013,0.7,ppm,8,24,100
12/12/2013,0.5,ppm,6,24,100
12/13/2013,0.5,ppm,6,24,100
12/14/2013,0.2,ppm,2,24,100
12/15/2013,0.2,ppm,2,18,75
12/16/2013,0.6,ppm,7,24,100
12/17/2013,0.3,ppm,3,24,100
12/18/2013,0.8,ppm,9,24,100
12/19/2013,0.8,ppm,9,24,100
12/20/2013,0.5,ppm,6,24,100
12/21/2013,0.3,ppm,3,24,100
12/22/2013,0.3,ppm,3,24,100
12/23/2013,0.3,ppm,3,24,100
12/24/2013,0.5,ppm,6,24,100
12/25/2013,0.4,ppm,5,24,100
12/26/2013,0.6,ppm,7,24,100
12/27/2013,0.8,ppm,9,24,100
12/28/2013,0.9,ppm,10,24,100
12/29/2013,0.9,ppm,10,18,75
12/30/2013,0.5,ppm,6,24,100
12/31/2013,0.7,ppm,8,24,100
1/1/2013,0.4,ppm,5,19,79
1/2/2013,0.4,ppm,5,24,100
1/3/2013,0.2,ppm,2,24,100
1/4/2013,0.6,ppm,7,10,42
1/5/2013,0.7,ppm,8,24,100
1/6/2013,0.8,ppm,9,24,100
1/7/2013,0.8,ppm,9,24,100
1/8/2013,0.8,ppm,9,24,100
1/9/2013,0.6,ppm,7,24,100
1/10/2013,0.7,ppm,8,24,100
1/11/2013,0.6,ppm,7,24,100
1/12/2013,0.7,ppm,8,24,100
1/13/2013,0.7,ppm,8,18,75
1/14/2013,0.7,ppm,8,24,100
1/15/2013,0.6,ppm,7,24,100
1/16/2013,0.7,ppm,8,24,100
1/17/2013,0.7,ppm,8,24,100
1/18/2013,1,ppm,11,24,100
1/19/2013,0.7,ppm,8,24,100
1/20/2013,0.9,ppm,10,24,100
1/21/2013,0.7,ppm,8,24,100
1/22/2013,0.9,ppm,10,24,100
1/23/2013,0.8,ppm,9,24,100
1/24/2013,1.1,ppm,13,24,100
1/25/2013,0.8,ppm,9,24,100
1/26/2013,0.6,ppm,7,24,100
1/27/2013,0.6,ppm,7,18,75
1/28/2013,0.6,ppm,7,24,100
1/29/2013,0.5,ppm,6,24,100
1/30/2013,0.6,ppm,7,24,100
1/31/2013,0.8,ppm,9,12,50
2/5/2013,0.2,ppm,2,2,8
2/6/2013,0.5,ppm,6,16,67
2/7/2013,0.2,ppm,2,16,67
2/8/2013,0.2,ppm,2,10,42
2/9/2013,0.3,ppm,3,21,88
2/10/2013,0.3,ppm,3,18,75
2/11/2013,0.4,ppm,5,24,100
2/12/2013,0.1,ppm,1,18,75
2/13/2013,0.4,ppm,5,24,100
2/14/2013,0.3,ppm,3,24,100
2/15/2013,0.1,ppm,1,6,25
2/16/2013,0.3,ppm,3,24,100
2/17/2013,0.4,ppm,5,24,100
2/18/2013,0.3,ppm,3,24,100
2/19/2013,0.5,ppm,6,24,100
2/20/2013,0.4,ppm,5,24,100
2/21/2013,0.4,ppm,5,24,100
2/22/2013,0.4,ppm,5,24,100
2/23/2013,0.6,ppm,7,24,100
2/24/2013,0.6,ppm,7,24,100
2/25/2013,0.5,ppm,6,24,100
2/26/2013,0.6,ppm,7,18,75
2/27/2013,0.7,ppm,8,24,100
2/28/2013,0.7,ppm,8,24,100
3/1/2013,0.5,ppm,6,24,100
3/2/2013,0.5,ppm,6,24,100
3/3/2013,0.6,ppm,7,24,100
3/4/2013,0.6,ppm,7,24,100
3/5/2013,0.6,ppm,7,24,100
3/6/2013,0.6,ppm,7,24,100
3/7/2013,0.6,ppm,7,24,100
3/8/2013,0.5,ppm,6,24,100
3/9/2013,0.4,ppm,5,24,100
3/10/2013,0.5,ppm,6,24,100
3/11/2013,1.1,ppm,13,18,75
3/12/2013,0.4,ppm,5,24,100
3/13/2013,0.3,ppm,3,24,100
3/14/2013,0.3,ppm,3,24,100
3/15/2013,0.4,ppm,5,24,100
3/16/2013,0.2,ppm,2,24,100
3/17/2013,0.2,ppm,2,24,100
3/18/2013,0.3,ppm,3,24,100
3/19/2013,0.5,ppm,6,24,100
3/20/2013,0.4,ppm,5,24,100
3/21/2013,0.3,ppm,3,24,100
3/22/2013,0.6,ppm,7,24,100
3/23/2013,0.2,ppm,2,24,100
3/24/2013,0.3,ppm,3,24,100
3/25/2013,0.4,ppm,5,24,100
3/26/2013,0.5,ppm,6,24,100
3/27/2013,0.4,ppm,5,16,67
3/28/2013,0.4,ppm,5,24,100
3/29/2013,0.5,ppm,6,24,100
3/30/2013,0.5,ppm,6,24,100
3/31/2013,0.3,ppm,3,24,100
4/1/2013,0.4,ppm,5,24,100
4/2/2013,0.4,ppm,5,24,100
4/3/2013,0.4,ppm,5,24,100
4/4/2013,0.6,ppm,7,24,100
4/5/2013,0.8,ppm,9,24,100
4/6/2013,0.4,ppm,5,24,100
4/7/2013,0.3,ppm,3,24,100
4/8/2013,0.4,ppm,5,18,75
4/9/2013,0.4,ppm,5,24,100
4/10/2013,0.3,ppm,3,24,100
4/11/2013,0.4,ppm,5,24,100
4/12/2013,0.4,ppm,5,24,100
4/13/2013,0.4,ppm,5,24,100
4/14/2013,0.3,ppm,3,24,100
4/15/2013,0.5,ppm,6,24,100
4/16/2013,0.4,ppm,5,24,100
4/17/2013,0.4,ppm,5,24,100
4/18/2013,0.3,ppm,3,24,100
4/19/2013,0.5,ppm,6,24,100
4/20/2013,0.5,ppm,6,24,100
4/21/2013,0.5,ppm,6,24,100
4/22/2013,0.5,ppm,6,18,75
4/23/2013,0.5,ppm,6,24,100
4/24/2013,0.4,ppm,5,24,100
4/25/2013,0.5,ppm,6,17,71
4/26/2013,0.3,ppm,3,24,100
4/27/2013,0.3,ppm,3,24,100
4/28/2013,0.4,ppm,5,24,100
4/29/2013,0.4,ppm,5,24,100
4/30/2013,0.4,ppm,5,24,100
5/1/2013,0.3,ppm,3,24,100
5/2/2013,0.2,ppm,2,24,100
5/3/2013,0.3,ppm,3,24,100
5/4/2013,0.4,ppm,5,24,100
5/5/2013,0.2,ppm,2,18,75
5/6/2013,0.3,ppm,3,24,100
5/7/2013,0.3,ppm,3,24,100
5/8/2013,0.2,ppm,2,24,100
5/9/2013,0.4,ppm,5,24,100
5/10/2013,0.1,ppm,1,24,100
5/11/2013,0.1,ppm,1,24,100
5/12/2013,0.2,ppm,2,24,100
5/13/2013,0.3,ppm,3,24,100
5/14/2013,0.5,ppm,6,24,100
5/15/2013,0.2,ppm,2,24,100
5/16/2013,0.3,ppm,3,24,100
5/17/2013,0.4,ppm,5,24,100
5/18/2013,0.3,ppm,3,24,100
5/19/2013,0.2,ppm,2,18,75
5/20/2013,0.2,ppm,2,24,100
5/21/2013,0.3,ppm,3,24,100
5/22/2013,0.4,ppm,5,24,100
5/23/2013,0.5,ppm,6,14,58
5/30/2013,0.1,ppm,1,5,21
5/31/2013,0.1,ppm,1,24,100
6/1/2013,0.1,ppm,1,24,100
6/2/2013,0.1,ppm,1,9,38
6/4/2013,0.1,ppm,1,19,79
6/5/2013,0.1,ppm,1,1,4
6/6/2013,0.3,ppm,3,12,50
6/7/2013,0.1,ppm,1,9,38
6/8/2013,0.1,ppm,1,9,38
6/9/2013,0.1,ppm,1,10,42
6/10/2013,0.1,ppm,1,8,33
6/11/2013,0.2,ppm,2,24,100
6/12/2013,0.3,ppm,3,24,100
6/13/2013,0.4,ppm,5,24,100
6/14/2013,0.1,ppm,1,16,67
6/17/2013,0.1,ppm,1,6,25
6/18/2013,0,ppm,0,19,79
6/19/2013,0.1,ppm,1,16,67
6/20/2013,0.2,ppm,2,24,100
6/21/2013,0.2,ppm,2,24,100
6/22/2013,0.1,ppm,1,24,100
6/23/2013,0.1,ppm,1,24,100
6/24/2013,0.2,ppm,2,24,100
6/25/2013,0.2,ppm,2,15,63
6/26/2013,0.2,ppm,2,24,100
6/27/2013,0.4,ppm,5,24,100
6/28/2013,0.1,ppm,1,24,100
6/29/2013,0.1,ppm,1,24,100
6/30/2013,0.1,ppm,1,18,75
7/1/2013,0.1,ppm,1,24,100
7/2/2013,0.1,ppm,1,24,100
7/3/2013,0.1,ppm,1,24,100
7/4/2013,0.1,ppm,1,24,100
7/5/2013,0.1,ppm,1,24,100
7/6/2013,0.3,ppm,3,24,100
7/7/2013,0.2,ppm,2,24,100
7/8/2013,0.3,ppm,3,24,100
7/9/2013,0.3,ppm,3,24,100
7/10/2013,0.6,ppm,7,24,100
7/11/2013,0.2,ppm,2,24,100
7/12/2013,0.3,ppm,3,24,100
7/13/2013,0.2,ppm,2,24,100
7/14/2013,0.2,ppm,2,18,75
7/15/2013,0.2,ppm,2,24,100
7/16/2013,0.2,ppm,2,24,100
7/17/2013,0.1,ppm,1,24,100
7/18/2013,0.4,ppm,5,24,100
7/19/2013,0.1,ppm,1,24,100
7/20/2013,0.2,ppm,2,24,100
7/21/2013,0,ppm,0,4,17
7/22/2013,0.3,ppm,3,23,96
7/23/2013,0.1,ppm,1,10,42
7/24/2013,0.1,ppm,1,12,50
8/8/2013,0.1,ppm,1,8,33
8/9/2013,0.6,ppm,7,24,100
8/10/2013,0.1,ppm,1,24,100
8/11/2013,0.2,ppm,2,18,75
8/12/2013,0.2,ppm,2,24,100
8/13/2013,0.3,ppm,3,24,100
8/14/2013,0.3,ppm,3,24,100
8/15/2013,0.3,ppm,3,24,100
8/16/2013,0.2,ppm,2,24,100
8/17/2013,0.1,ppm,1,24,100
8/18/2013,0.1,ppm,1,24,100
8/19/2013,0.3,ppm,3,24,100
8/20/2013,0.2,ppm,2,24,100
8/21/2013,0.2,ppm,2,24,100
8/22/2013,0.3,ppm,3,24,100
8/23/2013,0.2,ppm,2,24,100
8/24/2013,0.1,ppm,1,17,71
8/25/2013,0.1,ppm,1,18,75
8/26/2013,0.2,ppm,2,24,100
8/27/2013,0.2,ppm,2,17,71
8/28/2013,0.4,ppm,5,20,83
8/29/2013,0.1,ppm,1,4,17
8/30/2013,0.1,ppm,1,9,38
8/31/2013,0.1,ppm,1,5,21
9/1/2013,0.1,ppm,1,14,58
9/3/2013,0.1,ppm,1,5,21
9/4/2013,0.2,ppm,2,19,79
9/5/2013,0.4,ppm,5,7,29
9/6/2013,0.2,ppm,2,8,33
9/7/2013,0.2,ppm,2,15,63
9/8/2013,0.1,ppm,1,7,29
9/9/2013,0.2,ppm,2,10,42
9/10/2013,0.2,ppm,2,15,63
9/11/2013,0.1,ppm,1,15,63
9/12/2013,0.1,ppm,1,24,100
9/13/2013,0.6,ppm,7,17,71
9/14/2013,0.1,ppm,1,23,96
9/15/2013,0.1,ppm,1,18,75
9/16/2013,0.2,ppm,2,24,100
9/17/2013,0.2,ppm,2,24,100
9/18/2013,0.1,ppm,1,24,100
9/19/2013,0.2,ppm,2,18,75
9/20/2013,0.2,ppm,2,18,75
9/21/2013,0.2,ppm,2,18,75
9/22/2013,0.1,ppm,1,18,75
9/23/2013,0.1,ppm,1,14,58
9/24/2013,0.2,ppm,2,16,67
9/25/2013,0.4,ppm,5,24,100
9/26/2013,0.3,ppm,3,24,100
9/27/2013,0.1,ppm,1,11,46
9/30/2013,0.2,ppm,2,7,29
10/1/2013,0.4,ppm,5,15,63
10/2/2013,0.5,ppm,6,11,46
10/3/2013,0.5,ppm,6,8,33
10/4/2013,0.5,ppm,6,8,33
10/5/2013,0.1,ppm,1,16,67
10/6/2013,0.1,ppm,1,14,58
10/7/2013,0.4,ppm,5,14,58
10/8/2013,0.9,ppm,10,13,54
10/9/2013,0.3,ppm,3,7,29
10/10/2013,0.5,ppm,6,4,17
10/11/2013,0.3,ppm,3,14,58
10/12/2013,0.2,ppm,2,15,63
10/13/2013,0.1,ppm,1,6,25
10/14/2013,0.1,ppm,1,5,21
10/15/2013,0.6,ppm,7,16,67
10/16/2013,0.1,ppm,1,10,42
10/17/2013,0.4,ppm,5,14,58
10/18/2013,0.6,ppm,7,17,71
10/19/2013,0.4,ppm,5,15,63
10/20/2013,0.4,ppm,5,17,71
10/21/2013,0.1,ppm,1,16,67
10/22/2013,0.4,ppm,5,16,67
10/23/2013,0.7,ppm,8,18,75
10/24/2013,0.4,ppm,5,15,63
10/25/2013,0.2,ppm,2,9,38
10/26/2013,0.3,ppm,3,17,71
10/27/2013,0.3,ppm,3,15,63
10/28/2013,0.3,ppm,3,17,71
10/29/2013,0.1,ppm,1,8,33
10/30/2013,0.2,ppm,2,5,21
10/31/2013,0.2,ppm,2,24,100
11/1/2013,0.2,ppm,2,24,100
11/2/2013,0.3,ppm,3,17,71
11/3/2013,0.4,ppm,5,16,67
11/4/2013,0.3,ppm,3,5,21
11/5/2013,0.1,ppm,1,15,63
11/6/2013,0.2,ppm,2,24,100
11/7/2013,0.4,ppm,5,24,100
11/8/2013,0.8,ppm,9,24,100
11/9/2013,0.8,ppm,9,18,75
11/10/2013,0.7,ppm,8,18,75
11/11/2013,0.8,ppm,9,18,75
11/12/2013,0.4,ppm,5,24,100
11/13/2013,0.2,ppm,2,24,100
11/14/2013,0.4,ppm,5,24,100
11/15/2013,0.7,ppm,8,19,79
11/16/2013,0.1,ppm,1,7,29
