Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
6/13/2018,8.5,ug/m3 LC,35,1,100
6/14/2018,6.6,ug/m3 LC,28,1,100
6/15/2018,14.8,ug/m3 LC,57,1,100
6/16/2018,4.6,ug/m3 LC,19,1,100
6/17/2018,4,ug/m3 LC,17,1,100
6/18/2018,4.6,ug/m3 LC,19,1,100
6/19/2018,3.8,ug/m3 LC,16,1,100
6/20/2018,3.5,ug/m3 LC,15,1,100
6/21/2018,6.3,ug/m3 LC,26,1,100
6/22/2018,4.7,ug/m3 LC,20,1,100
6/23/2018,3.7,ug/m3 LC,15,1,100
6/24/2018,5.7,ug/m3 LC,24,1,100
6/25/2018,5.8,ug/m3 LC,24,1,100
6/26/2018,4.5,ug/m3 LC,19,1,100
6/27/2018,7.8,ug/m3 LC,33,1,100
6/28/2018,5.7,ug/m3 LC,24,1,100
6/29/2018,4.9,ug/m3 LC,20,1,100
6/30/2018,4.5,ug/m3 LC,19,1,100
7/1/2018,4.6,ug/m3 LC,19,1,100
7/2/2018,4.6,ug/m3 LC,19,1,100
7/3/2018,5.4,ug/m3 LC,23,1,100
7/4/2018,6.2,ug/m3 LC,26,1,100
7/5/2018,5.9,ug/m3 LC,25,1,100
7/6/2018,4.7,ug/m3 LC,20,1,100
7/7/2018,4.8,ug/m3 LC,20,1,100
7/8/2018,5.3,ug/m3 LC,22,1,100
7/9/2018,5,ug/m3 LC,21,1,100
7/10/2018,5.6,ug/m3 LC,23,1,100
7/11/2018,4.7,ug/m3 LC,20,1,100
7/12/2018,2.9,ug/m3 LC,12,1,100
7/13/2018,2.8,ug/m3 LC,12,1,100
