Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
10/18/2020,20.8,ppb,19,24,100
10/20/2020,24.4,ppb,23,24,100
10/21/2020,22.4,ppb,21,24,100
10/22/2020,28.9,ppb,26,24,100
10/23/2020,26.2,ppb,25,24,100
10/24/2020,19.5,ppb,18,24,100
10/25/2020,6.7,ppb,6,24,100
10/26/2020,8.8,ppb,8,23,96
10/27/2020,18.7,ppb,17,24,100
10/28/2020,28.1,ppb,26,24,100
10/30/2020,26.5,ppb,25,24,100
10/31/2020,24.5,ppb,23,24,100
11/1/2020,23,ppb,22,24,100
11/2/2020,32.7,ppb,30,18,75
11/3/2020,34.5,ppb,32,24,100
11/4/2020,25.7,ppb,24,24,100
11/5/2020,24.8,ppb,23,21,88
11/6/2020,24.2,ppb,23,24,100
11/7/2020,29.8,ppb,27,24,100
11/8/2020,3.9,ppb,3,24,100
11/9/2020,11.4,ppb,10,19,79
11/10/2020,27.3,ppb,25,24,100
11/11/2020,35.8,ppb,33,24,100
11/12/2020,31,ppb,29,24,100
11/13/2020,36.2,ppb,34,24,100
11/14/2020,18.3,ppb,17,24,100
11/15/2020,32.1,ppb,30,24,100
11/16/2020,31.8,ppb,29,18,75
11/17/2020,31.4,ppb,29,24,100
11/18/2020,27.8,ppb,25,24,100
11/19/2020,35.1,ppb,33,24,100
11/20/2020,23,ppb,22,24,100
11/21/2020,19.4,ppb,18,24,100
11/22/2020,15.8,ppb,14,24,100
11/24/2020,11.7,ppb,10,24,100
11/25/2020,34.4,ppb,32,24,100
11/26/2020,29.3,ppb,27,24,100
11/27/2020,19.4,ppb,18,24,100
11/28/2020,15.6,ppb,14,24,100
12/1/2020,37.9,ppb,35,24,100
12/5/2020,33.8,ppb,31,24,100
12/6/2020,29.7,ppb,27,24,100
12/8/2020,37.7,ppb,35,21,88
12/9/2020,41.1,ppb,39,24,100
12/10/2020,36.5,ppb,34,21,88
12/11/2020,15.3,ppb,14,24,100
12/12/2020,33.5,ppb,31,24,100
12/13/2020,33.7,ppb,31,24,100
12/14/2020,32.6,ppb,30,18,75
12/15/2020,14,ppb,13,24,100
12/16/2020,27.2,ppb,25,24,100
12/17/2020,39.7,ppb,37,24,100
12/18/2020,32.4,ppb,30,24,100
12/19/2020,30.4,ppb,28,24,100
12/20/2020,32.6,ppb,30,24,100
12/23/2020,10.4,ppb,9,21,88
12/24/2020,38.1,ppb,36,24,100
12/25/2020,40,ppb,38,24,100
12/26/2020,38.3,ppb,36,24,100
12/27/2020,34.6,ppb,32,24,100
12/28/2020,10,ppb,9,19,79
12/29/2020,26,ppb,25,24,100
12/30/2020,38.5,ppb,36,24,100
12/31/2020,38.6,ppb,36,24,100
1/1/2020,25.6,ppb,24,24,100
1/2/2020,20.2,ppb,19,24,100
1/3/2020,27.7,ppb,25,24,100
1/4/2020,26,ppb,25,19,79
1/5/2020,22.5,ppb,21,24,100
1/6/2020,31.7,ppb,29,24,100
1/7/2020,31,ppb,29,24,100
1/9/2020,30.5,ppb,28,24,100
1/10/2020,15.9,ppb,14,24,100
1/11/2020,17.3,ppb,16,24,100
1/12/2020,26.3,ppb,25,19,79
1/13/2020,27.8,ppb,25,22,92
1/14/2020,29,ppb,27,24,100
1/15/2020,42.3,ppb,40,24,100
1/16/2020,26.1,ppb,25,24,100
1/17/2020,23.4,ppb,22,24,100
1/18/2020,31.4,ppb,29,24,100
1/19/2020,27.7,ppb,25,19,79
1/20/2020,34.7,ppb,32,24,100
1/21/2020,29.4,ppb,27,24,100
1/22/2020,24,ppb,23,24,100
1/23/2020,24.6,ppb,23,24,100
1/24/2020,30.3,ppb,28,24,100
1/25/2020,19.2,ppb,18,24,100
1/26/2020,20.2,ppb,19,19,79
1/27/2020,21,ppb,20,24,100
1/28/2020,25.7,ppb,24,24,100
1/29/2020,25.2,ppb,24,24,100
1/30/2020,31.7,ppb,29,24,100
1/31/2020,30.9,ppb,28,24,100
2/1/2020,21.1,ppb,20,24,100
2/2/2020,17.5,ppb,16,19,79
2/3/2020,31.7,ppb,29,24,100
2/4/2020,8.1,ppb,8,24,100
2/5/2020,32.4,ppb,30,24,100
2/6/2020,32.7,ppb,30,24,100
2/7/2020,28.4,ppb,26,24,100
2/8/2020,15.9,ppb,14,24,100
2/9/2020,21.9,ppb,20,19,79
2/10/2020,17.3,ppb,16,24,100
2/11/2020,4,ppb,4,24,100
2/12/2020,19.8,ppb,18,24,100
2/13/2020,26.5,ppb,25,24,100
2/14/2020,20.1,ppb,19,21,88
2/15/2020,19.4,ppb,18,24,100
2/16/2020,17.6,ppb,16,19,79
2/17/2020,25.3,ppb,24,24,100
2/18/2020,21.2,ppb,20,18,75
2/19/2020,30.4,ppb,28,24,100
2/20/2020,20.7,ppb,19,24,100
2/21/2020,21.2,ppb,20,24,100
2/22/2020,19.3,ppb,18,24,100
2/23/2020,18.7,ppb,17,19,79
2/24/2020,26.9,ppb,25,24,100
2/25/2020,9.2,ppb,8,24,100
2/26/2020,27.1,ppb,25,24,100
2/27/2020,26.8,ppb,25,23,96
2/28/2020,37.5,ppb,35,24,100
2/29/2020,20.5,ppb,19,24,100
3/1/2020,15.7,ppb,14,19,79
3/2/2020,28.8,ppb,26,20,83
3/4/2020,30.2,ppb,28,23,96
3/5/2020,32.4,ppb,30,24,100
3/6/2020,23.6,ppb,22,24,100
3/7/2020,23.8,ppb,22,24,100
3/8/2020,5.1,ppb,5,19,79
3/9/2020,9.9,ppb,8,19,79
3/12/2020,20.2,ppb,19,23,96
3/13/2020,4.8,ppb,4,21,88
3/14/2020,15.1,ppb,14,24,100
3/15/2020,14.6,ppb,13,19,79
3/16/2020,20.3,ppb,19,24,100
3/18/2020,28.7,ppb,26,24,100
3/19/2020,13.5,ppb,12,24,100
3/20/2020,24.7,ppb,23,24,100
3/21/2020,9.9,ppb,8,24,100
3/22/2020,15.2,ppb,14,19,79
3/23/2020,22.2,ppb,21,24,100
3/24/2020,27.5,ppb,25,24,100
3/25/2020,30.1,ppb,28,24,100
3/26/2020,16,ppb,15,24,100
3/27/2020,4.8,ppb,4,24,100
3/28/2020,13.6,ppb,12,24,100
3/29/2020,11.2,ppb,10,19,79
3/30/2020,31.9,ppb,29,24,100
3/31/2020,24.2,ppb,23,24,100
4/1/2020,29.3,ppb,27,24,100
4/2/2020,18.2,ppb,17,20,83
4/3/2020,25,ppb,24,24,100
4/4/2020,4.8,ppb,4,24,100
4/5/2020,8,ppb,8,19,79
4/6/2020,24.7,ppb,23,24,100
4/7/2020,26.7,ppb,25,24,100
4/8/2020,22.1,ppb,21,24,100
4/9/2020,23.6,ppb,22,24,100
4/10/2020,21.5,ppb,20,24,100
4/11/2020,10,ppb,9,24,100
4/12/2020,2.8,ppb,2,19,79
4/14/2020,27.1,ppb,25,23,96
4/15/2020,20.8,ppb,19,23,96
4/16/2020,18.8,ppb,17,23,96
4/17/2020,22.6,ppb,21,21,88
4/18/2020,10.5,ppb,9,24,100
4/19/2020,4.1,ppb,4,19,79
4/20/2020,20.2,ppb,19,24,100
4/21/2020,27.3,ppb,25,24,100
4/22/2020,31.2,ppb,29,24,100
4/23/2020,22,ppb,21,24,100
4/24/2020,16.6,ppb,15,24,100
4/25/2020,11.2,ppb,10,24,100
4/26/2020,19.7,ppb,18,19,79
4/27/2020,27.1,ppb,25,23,96
4/28/2020,14.4,ppb,13,24,100
4/29/2020,6.4,ppb,6,24,100
4/30/2020,22.5,ppb,21,24,100
5/1/2020,17.3,ppb,16,24,100
5/2/2020,10.2,ppb,9,24,100
5/3/2020,5.5,ppb,5,19,79
5/4/2020,10.5,ppb,9,24,100
5/5/2020,17.3,ppb,16,24,100
5/6/2020,15.9,ppb,14,24,100
5/7/2020,26.7,ppb,25,24,100
5/8/2020,3.2,ppb,3,24,100
5/9/2020,5.5,ppb,5,24,100
5/10/2020,2,ppb,2,19,79
5/11/2020,10.7,ppb,9,24,100
5/12/2020,14.9,ppb,13,24,100
5/13/2020,20.2,ppb,19,24,100
5/14/2020,7.1,ppb,7,21,88
5/15/2020,22.3,ppb,21,24,100
5/16/2020,12,ppb,11,24,100
5/17/2020,4.7,ppb,4,19,79
5/19/2020,39,ppb,37,23,96
5/20/2020,21.5,ppb,20,24,100
5/21/2020,18.4,ppb,17,24,100
5/22/2020,19.9,ppb,18,24,100
5/23/2020,8.3,ppb,8,24,100
5/24/2020,2.3,ppb,2,19,79
5/25/2020,4.1,ppb,4,24,100
5/26/2020,6.8,ppb,6,24,100
5/27/2020,18.9,ppb,17,23,96
5/28/2020,6.5,ppb,6,24,100
5/29/2020,8.4,ppb,8,24,100
5/30/2020,4.7,ppb,4,24,100
5/31/2020,6.9,ppb,6,19,79
6/1/2020,10.9,ppb,9,24,100
6/2/2020,9.4,ppb,8,24,100
6/3/2020,14.9,ppb,13,24,100
6/4/2020,15.3,ppb,14,24,100
6/5/2020,27,ppb,25,24,100
6/6/2020,7.2,ppb,7,24,100
6/7/2020,9.4,ppb,8,19,79
6/8/2020,16.2,ppb,15,24,100
6/9/2020,5.3,ppb,5,24,100
6/10/2020,26.7,ppb,25,24,100
6/11/2020,17.4,ppb,16,24,100
6/12/2020,18.4,ppb,17,24,100
6/13/2020,9.8,ppb,8,24,100
6/14/2020,5.9,ppb,5,19,79
6/15/2020,19.4,ppb,18,24,100
6/16/2020,19.2,ppb,18,24,100
6/17/2020,17.9,ppb,16,24,100
6/18/2020,30.4,ppb,28,24,100
6/19/2020,20.8,ppb,19,24,100
6/20/2020,8.9,ppb,8,24,100
6/21/2020,19.4,ppb,18,19,79
6/22/2020,18.9,ppb,17,23,96
6/23/2020,9.8,ppb,8,24,100
6/24/2020,11.3,ppb,10,24,100
6/25/2020,22.9,ppb,21,22,92
6/26/2020,15.2,ppb,14,24,100
6/27/2020,16.4,ppb,15,24,100
6/28/2020,10.2,ppb,9,19,79
6/29/2020,17,ppb,16,24,100
6/30/2020,14.8,ppb,13,24,100
7/1/2020,22.5,ppb,21,24,100
