Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
2/20/2017,8,ppb,8,24,100
2/21/2017,16,ppb,15,24,100
2/22/2017,9,ppb,8,24,100
2/23/2017,7,ppb,7,24,100
2/24/2017,11,ppb,10,22,92
2/25/2017,12,ppb,11,24,100
2/26/2017,14,ppb,13,22,92
2/27/2017,23,ppb,22,24,100
2/28/2017,4,ppb,4,24,100
3/1/2017,29,ppb,27,24,100
3/2/2017,30,ppb,28,24,100
3/3/2017,12,ppb,11,24,100
3/4/2017,18,ppb,17,24,100
3/5/2017,13,ppb,12,22,92
3/6/2017,5,ppb,5,24,100
3/7/2017,28,ppb,26,24,100
3/8/2017,26,ppb,25,24,100
3/9/2017,32,ppb,30,23,96
3/10/2017,31,ppb,29,19,79
3/11/2017,24,ppb,23,24,100
3/12/2017,9,ppb,8,22,92
3/13/2017,33,ppb,31,23,96
3/14/2017,24,ppb,23,24,100
3/15/2017,19,ppb,18,24,100
3/16/2017,17,ppb,16,24,100
3/17/2017,12,ppb,11,24,100
3/18/2017,46,ppb,43,24,100
3/19/2017,19,ppb,18,22,92
3/20/2017,15,ppb,14,24,100
3/21/2017,16,ppb,15,24,100
3/22/2017,23,ppb,22,24,100
3/23/2017,18,ppb,17,23,96
3/24/2017,5,ppb,5,24,100
3/25/2017,23,ppb,22,24,100
3/26/2017,14,ppb,13,22,92
3/27/2017,9,ppb,8,24,100
3/28/2017,6,ppb,6,24,100
3/29/2017,11,ppb,10,24,100
3/30/2017,21,ppb,20,24,100
3/31/2017,8,ppb,8,24,100
4/1/2017,9,ppb,8,24,100
4/2/2017,4,ppb,4,22,92
4/3/2017,19,ppb,18,24,100
4/4/2017,5,ppb,5,24,100
4/5/2017,29,ppb,27,24,100
4/6/2017,31,ppb,29,23,96
4/7/2017,42,ppb,40,24,100
4/8/2017,7,ppb,7,24,100
4/9/2017,8,ppb,8,22,92
4/10/2017,27,ppb,25,22,92
4/11/2017,27,ppb,25,24,100
4/12/2017,8,ppb,8,24,100
4/13/2017,21,ppb,20,24,100
4/14/2017,9,ppb,8,24,100
4/15/2017,9,ppb,8,24,100
4/16/2017,11,ppb,10,22,92
4/17/2017,9,ppb,8,24,100
4/18/2017,9,ppb,8,24,100
4/19/2017,13,ppb,12,24,100
4/20/2017,11,ppb,10,24,100
4/21/2017,9,ppb,8,24,100
4/22/2017,5,ppb,5,24,100
4/23/2017,32,ppb,30,22,92
4/24/2017,8,ppb,8,23,96
4/25/2017,3,ppb,3,22,92
4/26/2017,8,ppb,8,24,100
4/27/2017,8,ppb,8,23,96
4/28/2017,2,ppb,2,24,100
4/29/2017,9,ppb,8,24,100
4/30/2017,7,ppb,7,22,92
5/1/2017,4,ppb,4,24,100
5/2/2017,14,ppb,13,24,100
5/3/2017,35,ppb,33,24,100
5/4/2017,17,ppb,16,24,100
5/5/2017,22,ppb,21,24,100
5/6/2017,18,ppb,17,24,100
5/7/2017,8,ppb,8,22,92
5/8/2017,7,ppb,7,24,100
5/9/2017,7,ppb,7,24,100
5/10/2017,8,ppb,8,24,100
5/11/2017,15,ppb,14,24,100
5/12/2017,26,ppb,25,24,100
5/13/2017,9,ppb,8,24,100
5/14/2017,7,ppb,7,22,92
5/15/2017,14,ppb,13,24,100
5/16/2017,9,ppb,8,24,100
5/17/2017,8,ppb,8,24,100
5/18/2017,5,ppb,5,24,100
5/19/2017,6,ppb,6,22,92
5/20/2017,14,ppb,13,24,100
5/21/2017,7,ppb,7,24,100
5/22/2017,10,ppb,9,22,92
5/23/2017,12,ppb,11,24,100
5/24/2017,11,ppb,10,22,92
5/25/2017,10,ppb,9,24,100
5/26/2017,10,ppb,9,24,100
5/27/2017,9,ppb,8,24,100
5/28/2017,13,ppb,12,22,92
5/29/2017,3,ppb,3,24,100
5/30/2017,12,ppb,11,24,100
5/31/2017,20,ppb,19,24,100
6/1/2017,10,ppb,9,24,100
6/2/2017,9,ppb,8,24,100
6/3/2017,12,ppb,11,24,100
6/4/2017,8,ppb,8,22,92
6/5/2017,18,ppb,17,24,100
6/6/2017,7,ppb,7,24,100
6/7/2017,10,ppb,9,24,100
6/8/2017,8,ppb,8,24,100
6/9/2017,10,ppb,9,24,100
6/10/2017,5,ppb,5,24,100
6/11/2017,8,ppb,8,22,92
6/12/2017,9,ppb,8,24,100
6/13/2017,13,ppb,12,24,100
6/14/2017,17,ppb,16,24,100
6/15/2017,19,ppb,18,24,100
6/16/2017,13,ppb,12,24,100
6/17/2017,4,ppb,4,24,100
6/18/2017,5,ppb,5,22,92
6/19/2017,12,ppb,11,24,100
6/20/2017,13,ppb,12,23,96
6/21/2017,12,ppb,11,24,100
6/22/2017,25,ppb,24,24,100
6/23/2017,14,ppb,13,24,100
6/24/2017,3,ppb,3,24,100
6/25/2017,8,ppb,8,22,92
6/26/2017,14,ppb,13,24,100
6/27/2017,11,ppb,10,24,100
6/28/2017,6,ppb,6,24,100
6/29/2017,6,ppb,6,24,100
6/30/2017,5,ppb,5,24,100
7/1/2017,11,ppb,10,24,100
7/2/2017,19,ppb,18,22,92
7/3/2017,7,ppb,7,24,100
7/4/2017,8,ppb,8,24,100
7/5/2017,10,ppb,9,24,100
7/6/2017,14,ppb,13,24,100
