Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,,,Month,Year
15-Jun-24,New Mexico,Rio Rancho,N/A,0,1,0,0,1,,,6,2024
15-Jun-24,New Mexico,Las Cruces,1900 block of W Picacho Ave,0,1,0,0,1,,,6,2024
14-Jun-24,New Mexico,Albuquerque,604 Coal Ave SE,1,0,0,0,1,,,6,2024
13-Jun-24,New Mexico,Gallup,1591B NM-264,1,0,0,0,1,,,6,2024
11-Jun-24,New Mexico,Albuquerque,San Pedro Dr SE and Bell Ave SE,1,0,0,0,0,,,6,2024
11-Jun-24,New Mexico,Yah-ta-hey,641 US-491,0,0,0,0,1,,,6,2024
11-Jun-24,New Mexico,Albuquerque,5500 Balloon Fiesta Pkwy,0,1,0,0,0,,,6,2024
9-Jun-24,New Mexico,Albuquerque,8307 Central Ave NE,1,0,0,0,2,,,6,2024
9-Jun-24,New Mexico,Espanola,1115 N Riverside Dr,0,0,1,0,0,,,6,2024
8-Jun-24,New Mexico,Las Cruces,1001 Valley View Ave,1,0,0,0,0,,,6,2024
8-Jun-24,New Mexico,Albuquerque,Indiana St SE and Cochiti Rd SE,1,1,0,0,1,,,6,2024
8-Jun-24,New Mexico,Albuquerque,Central Ave SE and Wyoming Blvd SE,0,1,0,0,0,,,6,2024
4-Jun-24,New Mexico,Albuquerque,3011 Jane Pl NE,2,0,0,0,0,,,6,2024
2-Jun-24,New Mexico,Regina,NM-595 and NM-96,1,0,0,0,1,,,6,2024
1-Jun-24,New Mexico,Albuquerque,3700 block of General Chennault St NE,0,1,0,0,1,,,6,2024
31-May-24,New Mexico,Roswell,800 block of N Washington Ave,1,0,0,0,1,,,5,2024
31-May-24,New Mexico,Albuquerque,Central Ave SE and Tennessee St NE,0,1,0,0,0,,,5,2024
29-May-24,New Mexico,Roosevelt County (county),N/A,0,1,0,0,0,,,5,2024
27-May-24,New Mexico,Albuquerque,7211 Marble Ave NE,1,0,0,0,0,,,5,2024
25-May-24,New Mexico,Santa Fe,900 block of Morning Dr,1,0,0,0,1,,,5,2024
25-May-24,New Mexico,Hobbs,2000 block of N Kingsley St,1,0,0,0,1,,,5,2024
24-May-24,New Mexico,Anthony,6301 NM-28,1,0,0,0,1,,,5,2024
24-May-24,New Mexico,Albuquerque,5701 Eastern Ave SE,1,0,0,0,1,,,5,2024
22-May-24,New Mexico,Albuquerque,2920 Leopoldo Rd NW,0,1,0,0,0,,,5,2024
20-May-24,New Mexico,Albuquerque,2401 12th St NW,0,1,0,0,0,,,5,2024
19-May-24,New Mexico,Albuquerque,N/A,1,0,0,0,3,,,5,2024
19-May-24,New Mexico,Albuquerque,531 Ortiz Dr SE,1,0,0,0,0,,,5,2024
18-May-24,New Mexico,Albuquerque,6818 Central Ave NE,1,0,0,0,1,,,5,2024
17-May-24,New Mexico,Las Vegas,Roxie Rd,0,1,0,0,1,,,5,2024
15-May-24,New Mexico,Roswell,1300 block of N Main St,0,1,1,0,0,,,5,2024
15-May-24,New Mexico,Hobbs,600 block of N McKinley St,2,0,0,0,1,,,5,2024
14-May-24,New Mexico,Tucumcari,4329 Quay Rd 49,0,1,1,0,0,,,5,2024
14-May-24,New Mexico,Albuquerque,1120 Pennsylvania Rd NE,1,0,0,0,1,,,5,2024
13-May-24,New Mexico,Albuquerque,6701 Fortuna Rd NW,0,0,0,0,0,,,5,2024
12-May-24,New Mexico,Tohatchi,N/A,1,0,0,0,1,,,5,2024
11-May-24,New Mexico,Gallup,N/A,0,0,0,1,1,,,5,2024
11-May-24,New Mexico,Albuquerque,7303 Montgomery Blvd NE,1,0,0,0,0,,,5,2024
8-May-24,New Mexico,Albuquerque,401 2nd St NW,0,1,0,0,1,,,5,2024
6-May-24,New Mexico,Albuquerque,8000 Academy Rd NE,0,1,0,0,1,,,5,2024
5-May-24,New Mexico,Gallup,1500 block of S 2nd St,2,2,0,0,0,,,5,2024
3-May-24,New Mexico,Clovis,1899 NM-209,2,1,0,0,1,,,5,2024
2-May-24,New Mexico,Albuquerque,7711 Edith Blvd NE,1,0,1,0,0,,,5,2024
2-May-24,New Mexico,Roswell,400 block of E 24th St,0,1,0,0,0,,,5,2024
1-May-24,New Mexico,Artesia,703 W Champ Clarke Ave,0,0,1,0,0,,,5,2024
30-Apr-24,New Mexico,Albuquerque,30 Rainbow Rd,0,0,0,1,1,,,4,2024
29-Apr-24,New Mexico,Chaparral,Luna Azul Dr and Prescott Anthony Dr,0,0,1,0,0,,,4,2024
29-Apr-24,New Mexico,Las Cruces,1921 Princess Jeanne Dr,1,0,0,0,1,,,4,2024
27-Apr-24,New Mexico,Aztec,500 S Light Plant Rd,0,1,0,0,1,,,4,2024
25-Apr-24,New Mexico,Albuquerque,Granite Ave NE,0,1,0,0,0,,,4,2024
25-Apr-24,New Mexico,Albuquerque,86th St SW and Sunset Gardens Rd SW,0,1,0,0,0,,,4,2024
25-Apr-24,New Mexico,Albuquerque,13205 San Juan Ave,0,1,0,0,0,,,4,2024
25-Apr-24,New Mexico,Albuquerque,4500 Alexander Blvd NE,1,1,0,0,0,,,4,2024
24-Apr-24,New Mexico,Santa Fe,Harrison Rd and Cerrillos Rd,0,0,0,1,0,,,4,2024
24-Apr-24,New Mexico,Gallup,US-491,1,0,0,0,3,,,4,2024
20-Apr-24,New Mexico,Albuquerque,557 Tramway Blvd NE,0,0,1,0,0,,,4,2024
19-Apr-24,New Mexico,Espanola,538 N Paseo de Onate,0,1,0,0,1,,,4,2024
19-Apr-24,New Mexico,Albuquerque,7220 Central Ave SE,1,1,0,0,2,,,4,2024
17-Apr-24,New Mexico,Albuquerque,6300 Central Ave SE,0,1,0,0,0,,,4,2024
11-Apr-24,New Mexico,Albuquerque,2266 Wyoming Blvd NE,0,0,1,0,0,,,4,2024
11-Apr-24,New Mexico,Albuquerque,11811 Menaul Blvd NE,1,0,0,0,0,,,4,2024
10-Apr-24,New Mexico,Albuquerque,Central Ave SE and Charleston St SE,0,1,0,0,0,,,4,2024
9-Apr-24,New Mexico,Roswell,1400 block of W Hendricks St,0,1,0,0,0,,,4,2024
9-Apr-24,New Mexico,Roswell,600 E Hobbs St,0,0,0,0,3,,,4,2024
9-Apr-24,New Mexico,Albuquerque,120 block of La Plata Rd NW,0,0,1,0,0,,,4,2024
9-Apr-24,New Mexico,Albuquerque,100 Deputy Dean Miera Dr SW,0,1,0,0,0,,,4,2024
9-Apr-24,New Mexico,Albuquerque,1240 Bellamah Ave NW,0,0,0,0,1,,,4,2024
8-Apr-24,New Mexico,Hobbs,1000 block of S Linam St,1,0,0,0,0,,,4,2024
6-Apr-24,New Mexico,Albuquerque,619 Copper Ave NW,1,0,0,0,1,,,4,2024
6-Apr-24,New Mexico,Albuquerque,525 San Pedro Dr NE,1,0,0,0,1,,,4,2024
4-Apr-24,New Mexico,Roswell,900 block of S Sunset Ave,0,0,1,0,0,,,4,2024
3-Apr-24,New Mexico,Rio Rancho,Paseo del Volcan and Camino Encantadas,1,0,0,0,1,,,4,2024
3-Apr-24,New Mexico,Las Cruces,2100 block of Lester Ave,1,0,0,0,1,,,4,2024
1-Apr-24,New Mexico,Albuquerque,7503 Central Ave NE,1,0,0,0,1,,,4,2024
1-Apr-24,New Mexico,Carlsbad,1900 block of Boyd Dr,1,0,0,0,0,,,4,2024
1-Apr-24,New Mexico,Mesilla,NM-101 and McDowell Pl,1,0,0,0,1,,,4,2024
31-Mar-24,New Mexico,Santa Fe,900 block of Verdinal Ln,0,1,0,0,2,,,3,2024
30-Mar-24,New Mexico,Albuquerque,William St SE and Woodward Rd SE,0,1,0,0,0,,,3,2024
30-Mar-24,New Mexico,Albuquerque,4th St NW and Central Ave NW,0,2,0,0,2,,,3,2024
29-Mar-24,New Mexico,Roswell,300 block of E Reed St,1,0,0,0,2,,,3,2024
28-Mar-24,New Mexico,Albuquerque,500 block of Bellamah Ave,1,0,0,0,0,,,3,2024
26-Mar-24,New Mexico,Albuquerque,N/A,0,1,0,0,0,,,3,2024
